experiment,model_name,dataset,split,checkpoint,labels,examples,threshold,precision,recall,f1,time_seconds_total,time_seconds_average,predicted_entities,reference_entities,raw_predicted_entities,exact_matches,prompt_name
label_prompt,urchade/gliner_large-v2.1,conll2003,test,urchade/gliner_large-v2.1,"[""PER"", ""ORG"", ""LOC"", ""MISC""]",500,0.5,0.2638888888888889,0.1353001017293998,0.1788836583725622,67.76354456200079,0.13552708912400158,504,983,504,133,conll_tags
label_prompt,urchade/gliner_large-v2.1,conll2003,test,urchade/gliner_large-v2.1,"[""human being"", ""organization"", ""geographical location"", ""miscellaneous named entity""]",500,0.5,0.6261491317671093,0.6236012207527976,0.6248725790010194,68.62776351299999,0.13725552702599997,979,983,979,613,descriptive_phrases
label_prompt,urchade/gliner_large-v2.1,conll2003,test,urchade/gliner_large-v2.1,"[""person"", ""organization"", ""location"", ""miscellaneous""]",500,0.5,0.6060862214708369,0.7293997965412004,0.6620498614958449,66.85031256200273,0.13370062512400546,1183,983,1183,717,natural_labels
label_prompt,urchade/gliner_large-v2.1,conll2003,test,urchade/gliner_large-v2.1,"[""human"", ""company"", ""country"", ""other entity""]",500,0.5,0.8577235772357723,0.42929806714140384,0.5722033898305083,65.57207124100023,0.13114414248200046,492,983,492,422,semantic_aliases
